top_bow_words
"something:2.000, sometimes:2.000, mind:2.000, internet:2.000, crash:2.000"
"internet:3.000, comcast:2.000, online:1.000, poor:1.000, stop:1.000"
"service:5.000, never:3.000, comcast:3.000, make:2.000, month:2.000"
"second:3.000, box:3.000, add:3.000, account:2.000, possible:2.000"
"contract:5.000, year:4.000, comcast:4.000, issue:3.000, price:2.000"
"promise:2.000, time:1.000, people:1.000, security:1.000, receive:1.000"
"xfinity:8.000, contract:7.000, would:5.000, state:4.000, sign:4.000"
"investigate:3.000, customer:3.000, since:2.000, protocol:2.000, malfunction:2.000"
"service:2.000, rude:2.000, rep:2.000, comcast:2.000, overwhelming:1.000"
"month:4.000, take:3.000, technician:3.000, time:3.000, get:3.000"
"get:8.000, pay:7.000, say:7.000, call:7.000, change:6.000"
"modem:6.000, speed:5.000, map:4.000, test:4.000, week:4.000"
"map:6.000, service:3.000, tell:3.000, customer:3.000, blast:3.000"
"day:3.000, service:2.000, unexpected:1.000, set:1.000, outage:1.000"
"rude:3.000, service:2.000, local:2.000, joke:2.000, get:2.000"
"call:5.000, service:5.000, would:5.000, get:3.000, want:2.000"
"service:5.000, speed:4.000, customer:4.000, pay:2.000, fast:2.000"
"come:10.000, teach:10.000, tell:9.000, would:8.000, burial:8.000"
"internet:12.000, go:11.000, security:8.000, cable:8.000, day:7.000"
"get:4.000, line:3.000, would:2.000, wife:2.000, network:2.000"
"comcast:7.000, rep:5.000, finally:5.000, verse:4.000, month:4.000"
"bill:3.000, map:2.000, promise:2.000, internet:2.000, get:2.000"
"get:14.000, could:9.000, internet:8.000, month:7.000, year:7.000"
"mind:2.000, call:2.000, set:1.000, make:1.000, one:1.000"
"service:4.000, comcast:4.000, call:4.000, note:3.000, say:3.000"
"teach:1.000, short:1.000, service:1.000, wireless:1.000, never:1.000"
"tell:6.000, plan:4.000, visa:4.000, would:3.000, say:3.000"
"service:5.000, even:5.000, speed:4.000, time:4.000, issue:4.000"
"service:2.000, speed:2.000, put:1.000, upgrade:1.000, rock:1.000"
"service:3.000, expert:3.000, comcast:3.000, use:2.000, currently:2.000"
"read:2.000, increase:2.000, year:2.000, never:2.000, try:2.000"
"call:9.000, technician:6.000, issue:6.000, return:5.000, time:4.000"
"service:4.000, outage:3.000, use:2.000, fix:2.000, experience:2.000"
"comcast:4.000, invasion:2.000, privacy:2.000, internet:2.000, include:2.000"
"go:3.000, comcast:3.000, time:2.000, late:2.000, service:2.000"
"service:2.000, representative:1.000, seven:1.000, request:1.000, obviously:1.000"
"call:8.000, say:7.000, like:6.000, heck:4.000, go:4.000"
"cable:5.000, network:4.000, say:4.000, would:3.000, hook:3.000"
"retention:4.000, would:3.000, say:3.000, talk:3.000, cancel:3.000"
"work:1.000, live:1.000, priority:1.000, treasure:1.000, make:1.000"
"company:4.000, watch:2.000, infinity:2.000, get:2.000, game:2.000"
"teach:6.000, map:6.000, comcast:6.000, speed:4.000, able:3.000"
"modem:6.000, agent:5.000, manager:4.000, call:4.000, password:3.000"
"service:2.000, live:1.000, without:1.000, prompt:1.000, upgrade:1.000"
"spend:2.000, service:2.000, multiple:2.000, comcast:2.000, change:2.000"
"install:2.000, customer:2.000, comcast:2.000, without:1.000, unsuccessful:1.000"
"call:6.000, movie:5.000, speak:4.000, support:4.000, say:4.000"
"year:3.000, month:2.000, service:2.000, internet:2.000, use:2.000"
"technician:8.000, day:8.000, wire:6.000, would:6.000, tell:6.000"
"signal:4.000, pay:3.000, internet:3.000, teach:2.000, provide:2.000"
"new:4.000, get:4.000, number:3.000, box:3.000, one:2.000"
"comcast:7.000, connection:6.000, get:6.000, router:5.000, even:5.000"
"technician:4.000, call:3.000, refund:2.000, refuse:2.000, outage:2.000"
"xfinity:3.000, use:2.000, page:2.000, news:2.000, home:2.000"
"service:5.000, customer:4.000, credit:4.000, call:4.000, minute:3.000"
"comcast:8.000, modem:7.000, get:7.000, new:6.000, buy:6.000"
"get:4.000, service:3.000, english:3.000, speak:2.000, tell:2.000"
"internet:5.000, service:4.000, day:3.000, company:3.000, call:3.000"
"day:4.000, comcast:3.000, modem:2.000, work:2.000, go:2.000"
"time:5.000, comcast:4.000, owe:2.000, money:2.000, debt:2.000"
"problem:3.000, yes:3.000, chat:3.000, multiple:2.000, politician:2.000"
"service:2.000, time:2.000, minute:2.000, good:2.000, poor:1.000"
"service:5.000, customer:4.000, price:3.000, previous:3.000, new:3.000"
"get:6.000, credit:3.000, back:3.000, something:2.000, fix:2.000"
"service:4.000, internet:3.000, rep:2.000, email:2.000, change:2.000"
"come:14.000, say:9.000, one:5.000, someone:5.000, get:4.000"
"service:2.000, year:2.000, pay:2.000, provider:1.000, manage:1.000"
"price:4.000, month:4.000, go:3.000, per:2.000, lower:1.000"
"take:1.000, online:1.000, money:1.000, never:1.000, need:1.000"
"line:3.000, teach:3.000, possible:2.000, internet:2.000, friendly:2.000"
"service:7.000, charge:5.000, would:4.000, tell:3.000, find:3.000"
"rep:3.000, prepare:2.000, thing:2.000, read:2.000, comcast:2.000"
"xfinity:2.000, would:2.000, never:2.000, use:2.000, anyone:2.000"
"tell:4.000, speak:4.000, get:4.000, say:3.000, us:3.000"
"would:3.000, comcast:3.000, tell:2.000, internet:2.000, even:2.000"
"comcast:11.000, get:10.000, modem:10.000, come:8.000, problem:7.000"
"service:4.000, fee:4.000, high:2.000, rip:2.000, pay:2.000"
"provide:3.000, travel:3.000, would:3.000, service:3.000, comcast:3.000"
"problem:2.000, waste:2.000, time:2.000, fight:2.000, customer:2.000"
"call:5.000, make:4.000, saturday:3.000, schedule:3.000, get:3.000"
"poor:2.000, speed:1.000, patronize:1.000, upload:1.000, placate:1.000"
"box:9.000, channel:8.000, remote:7.000, get:5.000, new:4.000"
"service:3.000, company:3.000, zip:2.000, code:2.000, understand:1.000"
"problem:6.000, service:3.000, call:3.000, pay:2.000, wireless:2.000"
"internet:5.000, outage:3.000, service:3.000, customer:3.000, home:2.000"
"bury:7.000, th:7.000, tell:6.000, july:5.000, line:4.000"
"service:5.000, phone:3.000, talk:2.000, system:2.000, xfinity:2.000"
"willing:1.000, refund:1.000, notice:1.000, monthly:1.000, service:1.000"
"phone:5.000, get:4.000, comcast:4.000, hold:3.000, area:3.000"
"back:3.000, respond:3.000, request:2.000, look:2.000, modem:2.000"
"service:9.000, would:4.000, get:4.000, customer:4.000, comcast:4.000"
"service:12.000, say:9.000, bill:9.000, pay:8.000, go:8.000"
"comcast:7.000, time:6.000, call:6.000, customer:5.000, service:5.000"
"would:5.000, get:5.000, comcast:5.000, spin:4.000, line:3.000"
"tell:4.000, service:4.000, whole:4.000, dir:4.000, want:3.000"
"internet:5.000, really:3.000, get:3.000, time:2.000, money:2.000"
"tell:5.000, service:3.000, go:3.000, take:3.000, lose:2.000"
"really:2.000, wife:1.000, signal:1.000, bad:1.000"
"comcast:5.000, need:3.000, rep:3.000, account:2.000, want:2.000"
"time:3.000, try:2.000, say:2.000, go:2.000, forward:2.000"
"modem:3.000, day:3.000, add:3.000, charge:3.000, call:3.000"
"test:4.000, speed:4.000, get:4.000, everything:4.000, comcast:4.000"
"bill:8.000, month:7.000, say:5.000, get:5.000, go:4.000"
"tell:2.000, service:2.000, pay:1.000, note:1.000, upgrade:1.000"
"use:2.000, husband:2.000, comcast:2.000, please:1.000, star:1.000"
"equipment:5.000, new:4.000, call:4.000, bill:4.000, say:3.000"
"week:4.000, service:3.000, make:3.000, like:2.000, send:2.000"
"map:5.000, speed:4.000, morning:2.000, night:2.000, house:2.000"
"comcast:4.000, sprinkler:3.000, damage:3.000, time:2.000, property:2.000"
"work:7.000, internet:5.000, tell:4.000, make:4.000, management:4.000"
"th:7.000, time:6.000, check:5.000, call:5.000, say:4.000"
"ask:2.000, would:2.000, time:2.000, put:2.000, service:2.000"
"pay:2.000, verizon:2.000, spotty:1.000, night:1.000, rude:1.000"
"refund:3.000, month:3.000, never:2.000, list:2.000, say:2.000"
"map:4.000, internet:2.000, come:2.000, cable:2.000, someone:1.000"
"technician:2.000, one:2.000, like:2.000, share:2.000, thing:2.000"
"want:2.000, wife:2.000, plan:2.000, sign:2.000, tell:2.000"
"department:2.000, send:1.000, online:1.000, without:1.000, speak:1.000"
"tell:5.000, phone:4.000, service:3.000, disconnect:3.000, already:3.000"
"wife:2.000, second:2.000, probably:1.000, router:1.000, send:1.000"
"month:2.000, three:2.000, quality:1.000, offer:1.000, nothing:1.000"
"mb:2.000, comcast:2.000, work:1.000, month:1.000, site:1.000"
"reset:4.000, password:4.000, simple:2.000, promise:2.000, help:2.000"
"speed:3.000, bill:3.000, internet:2.000, single:2.000, slow:2.000"
"week:3.000, service:3.000, email:3.000, change:3.000, server:2.000"
"go:3.000, service:3.000, issue:3.000, call:3.000, say:2.000"
"call:5.000, service:4.000, get:3.000, never:2.000, time:2.000"
"comcast:6.000, go:3.000, hate:3.000, problem:2.000, router:2.000"
"service:5.000, phone:5.000, work:4.000, new:3.000, try:3.000"
"store:3.000, tell:2.000, month:2.000, xfinity:2.000, want:2.000"
"speed:7.000, internet:5.000, high:3.000, sec:2.000, plan:2.000"
"time:4.000, get:4.000, refund:2.000, customer:2.000, contact:2.000"
"service:2.000, outage:1.000, unpredictable:1.000, need:1.000, mistake:1.000"
"say:5.000, pay:5.000, bill:4.000, send:3.000, return:3.000"
"service:2.000, new:2.000, location:2.000, refund:1.000, want:1.000"
"try:2.000, good:2.000, window:2.000, go:2.000, year:2.000"
"money:5.000, refuse:2.000, son:2.000, service:2.000, go:2.000"
"internet:3.000, time:3.000, work:2.000, account:2.000, information:2.000"
"horrible:3.000, service:2.000, pay:2.000, work:2.000, internet:2.000"
"call:9.000, rep:6.000, customer:5.000, since:4.000, receive:3.000"
"modem:3.000, use:3.000, get:3.000, buy:2.000, router:2.000"
"service:4.000, tell:3.000, company:3.000, bad:3.000, one:2.000"
"service:3.000, internet:2.000, rain:1.000, reliable:1.000, robustness:1.000"
"internet:4.000, service:2.000, pay:2.000, speed:2.000, back:2.000"
"go:6.000, xfinity:5.000, internet:3.000, talk:2.000, limitation:2.000"
"service:8.000, comcast:7.000, bill:6.000, pay:5.000, internet:5.000"
