top_tfidf_words
"crash:0.501, sometimes:0.349, mind:0.309, something:0.239, wow:0.197"
"assignment:0.326, non:0.265, internet:0.255, interruption:0.251, lead:0.250"
"industry:0.257, star:0.204, connectionservice:0.189, astounding:0.189, meltdown:0.180"
"floor:0.390, second:0.343, add:0.341, possible:0.291, box:0.255"
"contract:0.440, advertise:0.254, year:0.239, map:0.238, mean:0.215"
"miserable:0.296, excited:0.296, promise:0.283, super:0.268, awesome:0.268"
"xfinity:0.502, contract:0.410, sign:0.218, state:0.218, termination:0.170"
"investigate:0.416, protocol:0.378, malfunction:0.356, predecessor:0.212, illogical:0.212"
"overwhelming:0.418, rude:0.390, ignorant:0.330, tom:0.327, rep:0.283"
"lemon:0.211, bonfire:0.211, gripe:0.202, terrible:0.199, technician:0.197"
"datum:0.254, speed:0.253, contract:0.250, firestick:0.223, change:0.213"
"test:0.279, modem:0.267, map:0.263, speed:0.246, specialist:0.180"
"map:0.659, blast:0.386, oblivious:0.217, disturbing:0.181, speed:0.164"
"unplanne:0.382, unexpected:0.310, backup:0.302, rearrange:0.299, inept:0.270"
"rude:0.406, joke:0.340, snotty:0.276, attractive:0.276, local:0.269"
"ultimately:0.278, hardware:0.262, debt:0.259, liability:0.195, would:0.187"
"speed:0.420, fast:0.264, improved:0.256, resend:0.228, infinity:0.215"
"burial:0.630, teach:0.283, line:0.234, come:0.205, week:0.171"
"security:0.346, internet:0.212, go:0.187, alarm:0.172, door:0.170"
"automate:0.198, network:0.187, line:0.186, secured:0.186, loadcould:0.186"
"verse:0.395, finally:0.262, rep:0.259, price:0.238, increase:0.220"
"map:0.438, promise:0.321, paperless:0.317, bill:0.283, average:0.258"
"channel:0.235, get:0.222, could:0.204, windows:0.170, year:0.168"
"mind:0.391, inconvenient:0.323, nonexistent:0.286, foreign:0.286, bother:0.245"
"louigie:0.460, note:0.307, impersonal:0.220, declare:0.194, guy:0.189"
"foot:0.368, thru:0.359, device:0.326, wireless:0.317, short:0.301"
"visa:0.439, plan:0.264, suit:0.207, manager:0.203, tell:0.173"
"device:0.290, speed:0.195, inconsistent:0.190, entirely:0.182, generally:0.177"
"governor:0.304, crapcast:0.304, spy:0.293, concast:0.286, rock:0.258"
"expert:0.581, currently:0.271, exclusively:0.243, belief:0.229, library:0.199"
"podunk:0.255, theme:0.229, read:0.228, increase:0.226, library:0.200"
"skill:0.309, technician:0.276, return:0.265, issue:0.260, level:0.234"
"outage:0.381, temperamental:0.263, mater:0.263, shin:0.251, permanent:0.213"
"invasion:0.454, privacy:0.370, snoop:0.253, hacking:0.253, include:0.211"
"optic:0.395, fiber:0.344, directly:0.276, megabyte:0.219, morning:0.215"
"overwilling:0.550, seven:0.369, dissatisfied:0.359, obviously:0.325, however:0.236"
"heck:0.380, freak:0.309, like:0.251, reschedule:0.206, say:0.202"
"cat:0.398, network:0.330, sublet:0.303, theme:0.294, hook:0.237"
"retention:0.671, tomorrow:0.287, talk:0.254, cancel:0.235, subscription:0.175"
"treasure:0.473, corp:0.379, coast:0.370, priority:0.327, fl:0.312"
"infinity:0.425, game:0.308, company:0.277, lettering:0.274, rub:0.246"
"map:0.419, teach:0.267, demark:0.264, speed:0.209, extreme:0.193"
"agent:0.334, compatible:0.329, modem:0.319, password:0.293, manager:0.270"
"prompt:0.355, guide:0.351, jack:0.343, impossible:0.302, nearly:0.301"
"worthwhile:0.328, multiple:0.312, malfunctioning:0.294, focus:0.265, fiasco:0.259"
"suppress:0.311, memory:0.252, unsuccessful:0.246, install:0.239, selfinstall:0.229"
"movie:0.292, episode:0.288, parental:0.226, wipe:0.200, support:0.194"
"unfaithful:0.351, promotion:0.348, hotline:0.292, year:0.268, extend:0.246"
"wire:0.310, expose:0.306, technician:0.267, unprofessional:0.256, bury:0.256"
"signal:0.446, refresh:0.378, internetthis:0.262, contradict:0.242, wrong:0.201"
"new:0.294, goodie:0.282, store:0.276, number:0.266, box:0.249"
"cap:0.249, ebb:0.244, data:0.239, gig:0.234, router:0.221"
"technician:0.304, olympics:0.244, outage:0.236, error:0.227, refund:0.223"
"xfinity:0.314, news:0.309, page:0.287, bias:0.262, antitrump:0.262"
"outage:0.274, ultimately:0.270, credit:0.240, apply:0.204, worth:0.199"
"buy:0.258, modem:0.233, replace:0.175, cut:0.166, sb:0.164"
"english:0.478, italian:0.299, guy:0.246, elderly:0.209, get:0.201"
"upon:0.203, internet:0.197, growexpand:0.193, ticket:0.187, four:0.181"
"sain:0.349, bolt:0.334, day:0.312, modem:0.239, headache:0.219"
"collector:0.354, debt:0.324, cendivcollectionagencyescalationscomcastcablecom:0.243, extract:0.232, time:0.227"
"politician:0.270, chat:0.229, yes:0.217, copy:0.182, akin:0.165"
"magically:0.336, good:0.286, difficulty:0.275, minute:0.273, unbelievable:0.271"
"teaser:0.527, subsidize:0.308, surcharge:0.267, former:0.249, previous:0.238"
"get:0.290, juneno:0.288, credit:0.274, alabama:0.258, infinity:0.223"
"uninvited:0.292, porch:0.263, frontier:0.244, email:0.223, setting:0.209"
"come:0.421, say:0.239, boyfriend:0.195, someone:0.188, appointment:0.187"
"drag:0.311, jack:0.244, google:0.242, lawsuit:0.238, manage:0.230"
"price:0.523, month:0.307, per:0.298, disgust:0.273, dishonest:0.238"
"application:0.553, finish:0.415, initial:0.389, online:0.264, check:0.240"
"fantastic:0.438, friendly:0.354, possible:0.260, line:0.259, teach:0.250"
"card:0.267, charge:0.231, chargedthis:0.188, service:0.183, refund:0.172"
"prepare:0.381, lickity:0.267, sally:0.255, wrestle:0.255, rep:0.250"
"xfinity:0.409, anyone:0.400, disrespectful:0.379, use:0.293, extremely:0.254"
"us:0.293, english:0.263, port:0.204, understand:0.198, speak:0.183"
"done:0.284, priced:0.271, arena:0.271, royal:0.262, reasonably:0.244"
"modem:0.316, teach:0.208, mb:0.196, schedule:0.178, come:0.172"
"fee:0.362, enjoy:0.350, rip:0.308, torment:0.280, irregular:0.258"
"travel:0.336, condition:0.238, team:0.205, executive:0.203, provide:0.190"
"fight:0.487, waste:0.378, common:0.283, scam:0.237, notify:0.227"
"saturday:0.293, weekend:0.243, apt:0.231, schedule:0.230, nd:0.214"
"packetdatagram:0.285, placate:0.250, loading:0.250, operational:0.250, patronize:0.241"
"remote:0.419, channel:0.308, box:0.287, instruction:0.215, guide:0.214"
"zip:0.463, code:0.346, unworkable:0.311, abomination:0.297, company:0.236"
"problem:0.364, wireless:0.272, noticeable:0.229, numerous:0.226, monetary:0.206"
"ebb:0.334, outage:0.270, notification:0.235, unfortunately:0.193, internet:0.190"
"bury:0.493, th:0.322, july:0.290, inside:0.206, agent:0.204"
"clerk:0.310, worker:0.269, nightmare:0.216, solve:0.208, fixinstall:0.204"
"overcharged:0.441, unusable:0.390, willing:0.267, become:0.230, night:0.214"
"carrier:0.316, pathetic:0.309, phone:0.249, area:0.242, hold:0.233"
"respond:0.360, history:0.272, rental:0.250, policy:0.241, capitalize:0.221"
"bogus:0.382, robert:0.331, chargeafter:0.272, service:0.170, argue:0.154"
"ahead:0.355, waive:0.290, xfinity:0.252, man:0.249, bill:0.247"
"cap:0.315, usage:0.212, datum:0.195, spell:0.194, description:0.179"
"spin:0.428, earth:0.192, session:0.183, chat:0.179, possibly:0.161"
"whole:0.318, dir:0.316, suck:0.175, sullen:0.171, china:0.163"
"piss:0.346, crap:0.298, really:0.293, internet:0.272, reset:0.265"
"unit:0.211, truck:0.200, mia:0.176, radar:0.176, availablethis:0.176"
"really:0.735, wife:0.439, signal:0.426, bad:0.292"
"rep:0.327, poor:0.295, need:0.276, comcast:0.237, number:0.220"
"forward:0.354, resume:0.269, hardly:0.233, reverse:0.225, machine:0.221"
"relate:0.290, add:0.261, rent:0.231, modem:0.227, xfinityonly:0.221"
"ping:0.282, test:0.269, everything:0.191, map:0.190, speed:0.190"
"bill:0.243, month:0.205, letter:0.187, cycle:0.170, crap:0.156"
"recompense:0.457, warning:0.357, response:0.239, couple:0.237, basic:0.229"
"husband:0.451, laptop:0.284, decision:0.278, barely:0.272, child:0.267"
"equipment:0.331, almost:0.246, new:0.208, liberated:0.200, spiel:0.185"
"final:0.230, week:0.229, obscuritycomcast:0.206, bitter:0.190, magical:0.181"
"map:0.515, speed:0.308, download:0.224, night:0.189, albuquerque:0.188"
"sprinkler:0.537, damage:0.335, section:0.307, property:0.240, loss:0.238"
"management:0.300, tier:0.256, work:0.214, gaming:0.201, wife:0.169"
"th:0.463, check:0.296, extension:0.245, time:0.191, confirmation:0.181"
